r.nm	G.of.r	g.of.r
0.89	-186.37	0.717432
0.891	-191.607	0.709818
0.892	-192.789	0.708357
0.893	-190.1	0.712745
0.894	-183.791	0.72259
0.895	-174.163	0.737416
0.896	-161.571	0.756672
0.897	-146.413	0.779746
0.898	-129.123	0.805973
0.899	-110.164	0.834645
0.9	-90.0218	0.865029
0.901	-69.1926	0.896374
0.902	-48.1778	0.927926
0.903	-27.4735	0.958945
0.904	-7.56187	0.988713
0.905	11.0977	1.01655
0.906	28.077	1.04182
0.907	42.987	1.06395
0.908	55.4851	1.08246
0.909	65.2817	1.09691
0.91	72.1455	1.10698
0.911	75.9081	1.11244
0.912	76.4666	1.11314
0.913	73.7857	1.10905
0.914	67.8977	1.10024
0.915	58.9012	1.08686
0.916	46.9589	1.06918
0.917	32.2934	1.04752
0.918	15.1822	1.02232
0.919	-4.04876	0.994055
0.92	-25.0323	0.963285
0.921	-47.3677	0.9306
0.922	-70.6295	0.896631
0.923	-94.3764	0.862026
0.924	-118.16	0.827442
0.925	-141.535	0.793529
0.926	-164.066	0.76092
0.927	-185.338	0.730214
0.928	-204.962	0.701969
0.929	-222.582	0.676697
0.93	-237.89	0.654833
0.931	-250.618	0.636756
0.932	-260.552	0.622763
0.933	-267.531	0.613074
0.934	-271.452	0.607823
0.935	-272.274	0.607056
0.936	-270.016	0.610731
0.937	-264.746	0.618737
0.938	-256.602	0.630859
0.939	-245.774	0.646813
0.94	-232.502	0.66624
0.941	-217.075	0.688717
0.942	-199.822	0.713761
0.943	-181.111	0.740839
0.944	-161.335	0.769382
0.945	-140.911	0.79879
0.946	-120.268	0.828448
0.947	-99.8395	0.857738
0.948	-80.0547	0.88605
0.949	-61.3305	0.912794
0.95	-44.0616	0.937415
0.951	-28.6128	0.959401
0.952	-15.3112	0.978298
0.953	-4.4388	0.993715
0.954	3.77339	1.00534
0.955	9.15067	1.01293
0.956	11.5784	1.01634
0.957	11.0047	1.01552
0.958	7.44153	1.01048
0.959	0.964448	1.00136
0.96	-8.28909	0.988349
0.961	-20.1229	0.971745
0.962	-34.2864	0.951907
0.963	-50.4806	0.929265
0.964	-68.3644	0.904305
0.965	-87.5625	0.877559
0.966	-107.674	0.849593
0.967	-128.28	0.820994
0.968	-148.955	0.792358
0.969	-169.274	0.764277
0.97	-188.812	0.737341
0.971	-207.19	0.712071
0.972	-224.032	0.688986
0.973	-239.006	0.668539
0.974	-251.819	0.651128
0.975	-262.228	0.637081
0.976	-270.04	0.626652
0.977	-275.119	0.620019
0.978	-277.388	0.617277
0.979	-276.829	0.618438
0.98	-273.484	0.623434
0.981	-267.453	0.632113
0.982	-258.893	0.644251
0.983	-248.014	0.659546
0.984	-235.067	0.677646
0.985	-220.354	0.69813
0.986	-204.206	0.720535
0.987	-186.982	0.744366
0.988	-169.061	0.769101
0.989	-150.828	0.794211
0.99	-132.672	0.819167
0.991	-114.967	0.843456
0.992	-98.0728	0.866595
0.993	-82.3155	0.888142
0.994	-67.9849	0.907708
0.995	-55.3235	0.924972
0.996	-44.5192	0.939685
0.997	-35.6987	0.951684
0.998	-28.9223	0.960894
0.999	-24.1798	0.967339
1	-21.3884	0.971139
1.001	-20.3918	0.972511
1.002	-20.9614	0.971771
1.003	-22.7992	0.969327
1.004	-25.5423	0.965671
1.005	-28.7693	0.961372
1.006	-32.0087	0.957066
1.007	-34.7479	0.953438
1.008	-36.4444	0.951213
1.009	-36.5381	0.951136
1.01	-34.464	0.953955
1.011	-29.6662	0.960404
